ID	seqnames	start	strand	Condition_Count	Gene_Name	Gene_Biotype	annotation	RBP_Num	miRNA_Num	SplicingSite_Num	SNP_Num	Cell_Line	Cell_Line_Num	Technique	Technique_Num	Quantification
m6A_Rnor6_1014	chr10	4637375	-	1	Snn	protein_coding	3'UTR/Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_1015	chr10	5183028	-	1	Clec16a	protein_coding	Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_1016	chr10	6841340	-	1	RGD1309748	protein_coding	3'UTR/Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_1017	chr10	6842021	-	1	RGD1309748	protein_coding	3'UTR/Exon	-1	-1	-1	0	Liver	1	m6A-REF-seq	1	1
m6A_Rnor6_1018	chr10	7056804	-	1	Pmm2	protein_coding	3'UTR/Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_1019	chr10	7056978	-	1	Pmm2	protein_coding	3'UTR/Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_102	chr1	100467448	+	1	Lrrc4b	protein_coding	Exon	-1	-1	-1	0	Brain	1	m6A-REF-seq	1	1
m6A_Rnor6_1020	chr10	7057205	-	2	Pmm2	protein_coding	3'UTR/Exon	-1	-1	-1	0	Brain;Liver	2	m6A-REF-seq	1	1
m6A_Rnor6_1021	chr10	7093592	-	1	Abat	protein_coding	3'UTR/Exon	-1	-1	-1	0	Brain	1	m6A-REF-seq	1	1
m6A_Rnor6_1022	chr10	7093654	-	1	Abat	protein_coding	3'UTR/Exon	-1	-1	-1	0	Brain	1	m6A-REF-seq	1	1
m6A_Rnor6_1023	chr10	7094476	-	1	Abat	protein_coding	Exon	-1	-1	-1	0	Liver	1	m6A-REF-seq	1	1
m6A_Rnor6_1024	chr10	9248181	-	1	Rbfox1	protein_coding	Intergenic	-1	-1	-1	0	Brain	1	m6A-REF-seq	1	0
m6A_Rnor6_1025	chr10	10766425	-	1	Smim22	protein_coding	3'UTR/Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_1026	chr10	10832979	-	1	Nudt16l1	protein_coding	Intergenic	-1	-1	-1	0	Brain	1	m6A-REF-seq	1	0
m6A_Rnor6_1027	chr10	10990960	-	1	Hmox2	protein_coding	Exon	-1	-1	-1	0	Brain	1	m6A-REF-seq	1	1
m6A_Rnor6_1028	chr10	10992120	-	1	Hmox2	protein_coding	Exon	-1	-1	-1	0	Brain	1	m6A-REF-seq	1	1
m6A_Rnor6_1029	chr10	11060778	-	1	Dnaja3	protein_coding	3'UTR/Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_103	chr1	100606186	+	1	Kcnc3	protein_coding	3'UTR/Exon	-1	-1	-1	0	Brain	1	m6A-REF-seq	1	1
m6A_Rnor6_1030	chr10	11066947	-	1	Dnaja3	protein_coding	Exon	-1	-1	-1	0	Liver	1	m6A-REF-seq	1	1
m6A_Rnor6_1031	chr10	11121793	-	1	Vasn	protein_coding	Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_1032	chr10	11122255	-	1	Vasn	protein_coding	Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_1033	chr10	11154739	-	1	Glis2	protein_coding	3'UTR/Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_1034	chr10	11759548	-	1	Dnase1	protein_coding	Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_1035	chr10	11847285	-	1	Cluap1	protein_coding	3'UTR/Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_1036	chr10	11882782	-	3	Naa60	protein_coding	3'UTR/Exon	-1	-1	-1	0	Brain;Kidney;Liver	3	m6A-REF-seq	1	1
m6A_Rnor6_1037	chr10	11883202	-	1	Naa60	protein_coding	Intron	-1	-1	-1	0	Brain	1	m6A-REF-seq	1	0
m6A_Rnor6_1038	chr10	11891965	-	1	Naa60	protein_coding	Exon	-1	-1	-1	0	Liver	1	m6A-REF-seq	1	1
m6A_Rnor6_1039	chr10	12996249	-	1	Tnfrsf12a	protein_coding	3'UTR/Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_104	chr1	100607275	+	1	Kcnc3	protein_coding	3'UTR/Exon	-1	-1	-1	0	Brain	1	m6A-REF-seq	1	1
m6A_Rnor6_1040	chr10	13541925	-	1	Atp6v0c	protein_coding	5'UTR/Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_1041	chr10	13875975	-	1	Traf7	protein_coding	Exon	-1	-1	-1	0	Brain	1	m6A-REF-seq	1	1
m6A_Rnor6_1042	chr10	13986075	-	2	Tsc2	protein_coding	Exon	-1	-1	-1	0	Brain;Kidney	2	m6A-REF-seq	1	1
m6A_Rnor6_1043	chr10	14244545	-	1	Nubp2	protein_coding	3'UTR/Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_1044	chr10	14244605	-	1	Nubp2	protein_coding	3'UTR/Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_1045	chr10	14619025	-	2	Baiap3	protein_coding	Intergenic	-1	-1	-1	0	Kidney;Liver	2	m6A-REF-seq	1	0
m6A_Rnor6_1046	chr10	14619523	-	1	Baiap3	protein_coding	Intergenic	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	0
m6A_Rnor6_1047	chr10	15198080	-	2	Stub1	protein_coding	Exon	-1	-1	-1	0	Brain;Kidney	2	m6A-REF-seq	1	1
m6A_Rnor6_1048	chr10	15198225	-	1	Stub1	protein_coding	Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_1049	chr10	15300478	-	1	Pigq	protein_coding	Exon	-1	-1	-1	0	Brain	1	m6A-REF-seq	1	1
m6A_Rnor6_105	chr1	100767700	+	1	Vrk3	protein_coding	Exon	-1	-1	-1	0	Liver	1	m6A-REF-seq	1	1
m6A_Rnor6_1050	chr10	15324365	-	1	Capn15	protein_coding	Exon	-1	-1	-1	0	Brain	1	m6A-REF-seq	1	1
m6A_Rnor6_1051	chr10	15350469	-	1	Rab11fip3	protein_coding	3'UTR/Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_1052	chr10	15350616	-	1	Rab11fip3	protein_coding	3'UTR/Exon	-1	-1	-1	0	Brain	1	m6A-REF-seq	1	1
m6A_Rnor6_1053	chr10	15350885	-	1	Rab11fip3	protein_coding	3'UTR/Exon	-1	-1	-1	0	Brain	1	m6A-REF-seq	1	1
m6A_Rnor6_1054	chr10	15868568	-	1	Nsg2	protein_coding	3'UTR/Exon	-1	-1	-1	0	Brain	1	m6A-REF-seq	1	1
m6A_Rnor6_1055	chr10	15987066	-	1	RGD1311343	protein_coding	Intergenic	-1	-1	-1	0	Brain	1	m6A-REF-seq	1	0
m6A_Rnor6_1056	chr10	15988057	-	1	Cpeb4	protein_coding	3'UTR/Exon	-1	-1	-1	0	Liver	1	m6A-REF-seq	1	1
m6A_Rnor6_1057	chr10	15988086	-	1	Cpeb4	protein_coding	3'UTR/Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_1058	chr10	19161594	-	1	Foxi1	protein_coding	3'UTR/Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_1059	chr10	20713261	-	1	Wwc1	protein_coding	Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_106	chr1	101071851	+	1	Nosip	protein_coding	Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_1060	chr10	20817994	-	1	Wwc1	protein_coding	Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_1061	chr10	24808244	-	1	7SK	misc_RNA	Intergenic	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	0
m6A_Rnor6_1062	chr10	27092225	-	1	Gabrg2	protein_coding	Intergenic	-1	-1	-1	0	Brain	1	m6A-REF-seq	1	0
m6A_Rnor6_1063	chr10	27311315	-	1	Gabra1	protein_coding	3'UTR/Exon	-1	-1	-1	0	Brain	1	m6A-REF-seq	1	1
m6A_Rnor6_1064	chr10	27320085	-	1	Gabra1	protein_coding	Exon	-1	-1	-1	0	Brain	1	m6A-REF-seq	1	1
m6A_Rnor6_1065	chr10	29357392	-	1	Ttc1	protein_coding	Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_1066	chr10	29365670	-	1	Ttc1	protein_coding	Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_1067	chr10	29365813	-	1	Ttc1	protein_coding	Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_1068	chr10	31278782	-	1	Cyfip2	protein_coding	3'UTR/Exon	-1	-1	-1	0	Brain	1	m6A-REF-seq	1	1
m6A_Rnor6_1069	chr10	31353703	-	2	Cyfip2	protein_coding	5'UTR/Exon	-1	-1	-1	0	Brain;Kidney	2	m6A-REF-seq	1	1
m6A_Rnor6_107	chr1	101072058	+	1	Nosip	protein_coding	Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_1070	chr10	31789834	-	1	Timd2	protein_coding	5'UTR/Exon	-1	-1	-1	0	Liver	1	m6A-REF-seq	1	1
m6A_Rnor6_1071	chr10	35707546	-	3	Sqstm1	protein_coding	Exon	-1	-1	-1	0	Brain;Kidney;Liver	3	m6A-REF-seq	1	1
m6A_Rnor6_1072	chr10	35714059	-	1	Sqstm1	protein_coding	Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_1073	chr10	35803269	-	1	Canx	protein_coding	3'UTR/Exon	-1	-1	-1	0	Brain	1	m6A-REF-seq	1	1
m6A_Rnor6_1074	chr10	37535056	-	1	Ppp2ca	protein_coding	Intergenic	-1	-1	-1	0	Brain	1	m6A-REF-seq	1	0
m6A_Rnor6_1075	chr10	37535474	-	2	Ppp2ca	protein_coding	Intergenic	-1	-1	-1	0	Kidney;Liver	2	m6A-REF-seq	1	0
m6A_Rnor6_1076	chr10	37535772	-	2	Ppp2ca	protein_coding	Intergenic	-1	-1	-1	0	Brain;Kidney	2	m6A-REF-seq	1	0
m6A_Rnor6_1077	chr10	38602255	-	1	Hspa4	protein_coding	3'UTR/Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_1078	chr10	38780240	-	1	Uqcrq	protein_coding	3'UTR/Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_1079	chr10	39201589	-	1	Slc22a5	protein_coding	3'UTR/Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_108	chr1	101567201	+	1	Bcat2	protein_coding	Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_1080	chr10	39201936	-	1	Slc22a5	protein_coding	3'UTR/Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_1081	chr10	39297385	-	1	Slc22a5	protein_coding	3'UTR/Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_1082	chr10	39298061	-	1	Slc22a5	protein_coding	3'UTR/Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_1083	chr10	39298655	-	1	Slc22a5	protein_coding	3'UTR/Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_1084	chr10	40055202	-	1	Cdc42se2	protein_coding	3'UTR/Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_1085	chr10	40055965	-	2	Cdc42se2	protein_coding	3'UTR/Exon	-1	-1	-1	0	Brain;Kidney	2	m6A-REF-seq	1	1
m6A_Rnor6_1086	chr10	40184390	-	2	Lyrm7	protein_coding	3'UTR/Exon	-1	-1	-1	0	Brain;Kidney	2	m6A-REF-seq	1	1
m6A_Rnor6_1087	chr10	40257636	-	1	Tnip1	protein_coding	Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_1088	chr10	40354181	-	1	Anxa6	protein_coding	Exon	-1	-1	-1	0	Brain	1	m6A-REF-seq	1	1
m6A_Rnor6_1089	chr10	40380863	-	1		protein_coding	Exon	-1	-1	-1	0	Brain	1	m6A-REF-seq	1	1
m6A_Rnor6_109	chr1	101691137	+	1	Dbp	protein_coding	Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_1090	chr10	40584670	-	1	Fat2	protein_coding	Exon	-1	-1	-1	0	Brain	1	m6A-REF-seq	1	1
m6A_Rnor6_1091	chr10	40613784	-	1	Fat2	protein_coding	Exon	-1	-1	-1	0	Brain	1	m6A-REF-seq	1	1
m6A_Rnor6_1092	chr10	40744186	-	2	Sparc	protein_coding	Exon	-1	-1	-1	0	Brain;Kidney	2	m6A-REF-seq	1	1
m6A_Rnor6_1093	chr10	40790961	-	1	Atox1	protein_coding	3'UTR/Exon	-1	-1	-1	0	Liver	1	m6A-REF-seq	1	1
m6A_Rnor6_1094	chr10	43501055	-	1		protein_coding	Intergenic	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	0
m6A_Rnor6_1095	chr10	45273760	-	1	Rnf187	protein_coding	3'UTR/Exon	-1	-1	-1	0	Brain	1	m6A-REF-seq	1	1
m6A_Rnor6_1096	chr10	45564208	-	1	Arf1	protein_coding	Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_1097	chr10	46199593	-	1	Cops3	protein_coding	Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_1098	chr10	46571013	-	1	Srebf1	protein_coding	3'UTR/Exon	-1	-1	-1	0	Brain	1	m6A-REF-seq	1	1
m6A_Rnor6_1099	chr10	46573296	-	1	Srebf1	protein_coding	Exon	-1	-1	-1	0	Liver	1	m6A-REF-seq	1	1
m6A_Rnor6_11	chr1	15080615	+	2	Ifngr1	protein_coding	3'UTR/Exon	-1	-1	-1	0	Kidney;Liver	2	m6A-REF-seq	1	1
m6A_Rnor6_110	chr1	102026907	+	1	Nomo1	protein_coding	Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_1100	chr10	46574170	-	1	Srebf1	protein_coding	Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_1101	chr10	46578094	-	1	Srebf1	protein_coding	Exon	-1	-1	-1	0	Liver	1	m6A-REF-seq	1	1
m6A_Rnor6_1102	chr10	46601097	-	1	Srebf1	protein_coding	Intergenic	-1	-1	-1	0	Brain	1	m6A-REF-seq	1	0
m6A_Rnor6_1103	chr10	46601823	-	1	Srebf1	protein_coding	Intergenic	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	0
m6A_Rnor6_1104	chr10	46602375	-	1	Tom1l2	protein_coding	3'UTR/Exon	-1	-1	-1	0	Brain	1	m6A-REF-seq	1	1
m6A_Rnor6_1105	chr10	46621134	-	2	Tom1l2	protein_coding	Exon	-1	-1	-1	0	Brain;Kidney	2	m6A-REF-seq	1	1
m6A_Rnor6_1106	chr10	46642054	-	1	Tom1l2	protein_coding	5'UTR/Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_1107	chr10	46962922	-	1	Flii	protein_coding	Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_1108	chr10	46964701	-	2	Flii	protein_coding	Exon	-1	-1	-1	0	Brain;Kidney	2	m6A-REF-seq	1	1
m6A_Rnor6_1109	chr10	47030906	-	1	Top3a	protein_coding	Intergenic	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	0
m6A_Rnor6_111	chr1	102445727	+	1	Kcnc1	protein_coding	Exon	-1	-1	-1	0	Brain	1	m6A-REF-seq	1	1
m6A_Rnor6_1110	chr10	47031148	-	1	Shmt1	protein_coding	Exon	-1	-1	-1	0	Liver	1	m6A-REF-seq	1	1
m6A_Rnor6_1111	chr10	47545802	-	1	Aldh3a2	protein_coding	Exon	-1	-1	-1	0	Liver	1	m6A-REF-seq	1	1
m6A_Rnor6_1112	chr10	47658671	-	1	Slc47a1	protein_coding	Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_1113	chr10	47992074	-	1	Slc5a10	protein_coding	5'UTR/Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_1114	chr10	48009287	-	1	Prpsap2	protein_coding	3'UTR/Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_1115	chr10	48052267	-	3	Ulk2	protein_coding	3'UTR/Exon	-1	-1	-1	0	Brain;Kidney;Liver	3	m6A-REF-seq	1	1
m6A_Rnor6_1116	chr10	48641875	-	1	Ncor1	protein_coding	Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_1117	chr10	52216117	-	2	Map2k4	protein_coding	Exon	-1	-1	-1	0	Brain;Kidney	2	m6A-REF-seq	1	1
m6A_Rnor6_1118	chr10	52216160	-	1	Map2k4	protein_coding	Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_1119	chr10	55412408	-	1	Ndel1	protein_coding	3'UTR/Exon	-1	-1	-1	0	Brain	1	m6A-REF-seq	1	1
m6A_Rnor6_112	chr1	102445823	+	1	Kcnc1	protein_coding	Exon	-1	-1	-1	0	Brain	1	m6A-REF-seq	1	1
m6A_Rnor6_1120	chr10	55949016	-	1	Chd3	protein_coding	Exon	-1	-1	-1	0	Brain	1	m6A-REF-seq	1	1
m6A_Rnor6_1121	chr10	55959202	-	1	Chd3	protein_coding	Exon	-1	-1	-1	0	Brain	1	m6A-REF-seq	1	1
m6A_Rnor6_1122	chr10	56275208	-	2	Eif4a1	protein_coding	Exon	-1	-1	-1	0	Kidney;Liver	2	m6A-REF-seq	1	1
m6A_Rnor6_1123	chr10	56348942	-	1	Polr2a	protein_coding	Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_1124	chr10	56403476	-	1	Fgf11	protein_coding	3'UTR/Exon	-1	-1	-1	0	Brain	1	m6A-REF-seq	1	1
m6A_Rnor6_1125	chr10	56432253	-	1	Nlgn2	protein_coding	3'UTR/Exon	-1	-1	-1	0	Brain	1	m6A-REF-seq	1	1
m6A_Rnor6_1126	chr10	56432363	-	1	Nlgn2	protein_coding	3'UTR/Exon	-1	-1	-1	0	Brain	1	m6A-REF-seq	1	1
m6A_Rnor6_1127	chr10	56434486	-	1	Nlgn2	protein_coding	Exon	-1	-1	-1	0	Brain	1	m6A-REF-seq	1	1
m6A_Rnor6_1128	chr10	56527844	-	2	Eif5a	protein_coding	Exon	-1	-1	-1	0	Kidney;Liver	2	m6A-REF-seq	1	1
m6A_Rnor6_1129	chr10	56529628	-	1	Eif5a	protein_coding	Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_113	chr1	125491191	+	1	Apba2	protein_coding	Exon	-1	-1	-1	0	Brain	1	m6A-REF-seq	1	1
m6A_Rnor6_1130	chr10	56620284	-	1	Acadvl	protein_coding	Exon	-1	-1	-1	0	Liver	1	m6A-REF-seq	1	1
m6A_Rnor6_1131	chr10	57286270	-	1	Spag7	protein_coding	Exon	-1	-1	-1	0	Brain	1	m6A-REF-seq	1	1
m6A_Rnor6_1132	chr10	57295300	-	1	Camta2	protein_coding	Exon	-1	-1	-1	0	Brain	1	m6A-REF-seq	1	1
m6A_Rnor6_1133	chr10	57295409	-	1	Camta2	protein_coding	Exon	-1	-1	-1	0	Brain	1	m6A-REF-seq	1	1
m6A_Rnor6_1134	chr10	57304035	-	1	Camta2	protein_coding	Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_1135	chr10	57614550	-	1	C1qbp	protein_coding	Exon	-1	-1	-1	0	Brain	1	m6A-REF-seq	1	1
m6A_Rnor6_1136	chr10	57642773	-	1	Dhx33	protein_coding	Intergenic	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	0
m6A_Rnor6_1137	chr10	57648510	-	1	Derl2	protein_coding	Exon	-1	-1	-1	0	Liver	1	m6A-REF-seq	1	1
m6A_Rnor6_1138	chr10	58638413	-	1	Pitpnm3	protein_coding	Exon	-1	-1	-1	0	Brain	1	m6A-REF-seq	1	1
m6A_Rnor6_1139	chr10	61179246	-	1	Rap1gap2	protein_coding	3'UTR/Exon	-1	-1	-1	0	Brain	1	m6A-REF-seq	1	1
m6A_Rnor6_114	chr1	125545514	+	1	Apba2	protein_coding	Exon	-1	-1	-1	0	Brain	1	m6A-REF-seq	1	1
m6A_Rnor6_1140	chr10	61459145	-	1	Pafah1b1	protein_coding	3'UTR/Exon	-1	-1	-1	0	Liver	1	m6A-REF-seq	1	1
m6A_Rnor6_1141	chr10	61756834	-	1	Srr	protein_coding	Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_1142	chr10	62264789	-	1	Serpinf2	protein_coding	3'UTR/Exon	-1	-1	-1	0	Liver	1	m6A-REF-seq	1	0
m6A_Rnor6_1143	chr10	62265032	-	1	Serpinf2	protein_coding	Exon	-1	-1	-1	0	Liver	1	m6A-REF-seq	1	1
m6A_Rnor6_1144	chr10	62269359	-	1	Serpinf2	protein_coding	Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_1145	chr10	62285549	-	1	Wdr81	protein_coding	Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_1146	chr10	62659617	-	1	Git1	protein_coding	Exon	-1	-1	-1	0	Brain	1	m6A-REF-seq	1	1
m6A_Rnor6_1147	chr10	63921268	-	1	U6	snRNA	Intergenic	-1	-1	-1	0	Brain	1	m6A-REF-seq	1	0
m6A_Rnor6_1148	chr10	64380186	-	1	Glod4	protein_coding	3'UTR/Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_1149	chr10	64412690	-	1	Glod4	protein_coding	Intergenic	-1	-1	-1	0	Brain	1	m6A-REF-seq	1	0
m6A_Rnor6_115	chr1	126537927	+	1	Tars3	protein_coding	Exon	-1	-1	-1	0	Brain	1	m6A-REF-seq	1	1
m6A_Rnor6_1150	chr10	64565348	-	1	Nxn	protein_coding	Intergenic	-1	-1	-1	0	Brain	1	m6A-REF-seq	1	0
m6A_Rnor6_1151	chr10	64566560	-	1	Nxn	protein_coding	Intergenic	-1	-1	-1	0	Brain	1	m6A-REF-seq	1	0
m6A_Rnor6_1152	chr10	64573331	-	1	Abr	protein_coding	Exon	-1	-1	-1	0	Brain	1	m6A-REF-seq	1	1
m6A_Rnor6_1153	chr10	64816340	-	1	Phf12	protein_coding	3'UTR/Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_1154	chr10	64817684	-	1	Phf12	protein_coding	Exon	-1	-1	-1	0	Brain	1	m6A-REF-seq	1	1
m6A_Rnor6_1155	chr10	64866416	-	1	Sez6	protein_coding	3'UTR/Exon	-1	-1	-1	0	Brain	1	m6A-REF-seq	1	1
m6A_Rnor6_1156	chr10	64868082	-	1	Sez6	protein_coding	Exon	-1	-1	-1	0	Brain	1	m6A-REF-seq	1	1
m6A_Rnor6_1157	chr10	64870755	-	1	Sez6	protein_coding	Exon	-1	-1	-1	0	Liver	1	m6A-REF-seq	1	1
m6A_Rnor6_1158	chr10	64979796	-	3	Myo18a	protein_coding	3'UTR/Exon	-1	-1	-1	0	Brain;Kidney;Liver	3	m6A-REF-seq	1	1
m6A_Rnor6_1159	chr10	64980312	-	1	Myo18a	protein_coding	3'UTR/Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_116	chr1	128978524	+	1	Igf1r	protein_coding	Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_1160	chr10	64980468	-	1	Myo18a	protein_coding	Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_1161	chr10	64996704	-	1	Myo18a	protein_coding	Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_1162	chr10	65003896	-	1	Myo18a	protein_coding	Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
